Frase,Ação,Id do Elemento,Sentimento
voces viram um cliente da b3 atraves do meu trabalho e o que eu ganho com,B3,1,neutro
eu ganho com isso da b3 nada mas eu sou acionista entao tambem estou interessado no,B3,1,neutro
acho que elas vao subir bradesco ja e uma posicao da carteira ne entao quase 68,Bradesco,1,neutro
seiscentos reais entao pretendo comprar bradesco mas nao tanto dele e vou comprar em partes iguais,Bradesco,1,positivo
iguais aqui transmissao paulista e b3 transmissao paulista porque e o unico nome de empresa eletrica,B3,1,neutro
na carteira por enquanto e b3 vai continuar sendo uma posicao menor porque aquela posicao onde,B3,1,neutro
corretora rico vou colocar primeiro b3 ja vou abrir aqui um outro livro tambem para acompanhar,B3,1,neutro
por ultimo eu pego o bradesco bom b3 tem 1250 12:51 aqui de oferta coloquei aqui,Bradesco,1,positivo
eu pego o bradesco bom b3 tem 1250 12:51 aqui de oferta coloquei aqui para comprar,B3,1,neutro
cara ordem enviada enquanto isso b3 ja foi totalmente executado e agora o ultimo papel obedecer,B3,1,positivo
o ultimo papel obedecer 3 bradesco eu vou comprar mil papeis o que vai dar 12.470,Bradesco,1,neutro
um pouco menos do que b3 foi a menor compra e bem menos do que transmissao,B3,1,neutro
vendi esse mes 523.000 de banco do brasil ta nao deu para gravar,banco do brasil,2,negativo
que que eu vend de banco do brasil nao tem motivo no sentido,banco do brasil,2,negativo
80% fora os dividendos de banco do brasil voce vai buscar argumentos nao,banco do brasil,2,neutro
excecao para isso e principalmente b3 que paga bem menos de modo que que o resultado,B3,2,negativo
transmissao paulista 100 1200 de b3 diminuindo o meu preco medio e mais 1000 de bradesco,B3,2,negativo
medio e mais 1000 de bradesco mas acho que no caso de bradesco eu nao cheguei,Bradesco,2,negativo
acho que no caso de bradesco eu nao cheguei a diminuir meu preco medio pelo menos,Bradesco,2,neutro
e ai comentando principalmente de bradesco porque atualizacoes interessantes sobre a situacao do banco evidente ente,Bradesco,2,neutro
eu poderia ter comprado mais bradesco inclusive depois vou mostrar a parte percentual mas ela e,Bradesco,2,neutro
exemplo ficaram a frente de bradesco o outro comparado era santander e nos comentarios tinha muita,Bradesco,2,neutro
argumentos mas eu acho que bradesco esta passando por um momento ruim e daqui a pouco,Bradesco,2,negativo
muito bom para se comprar bradesco e parece que nao estou sozinho se nos pensarmos nos,Bradesco,2,positivo
tempo o maior rival do bradesco era enxergado como o itau ate hoje pelo menos a,Bradesco,2,neutro
para as acoes do do bradesco que estavam basicamente em venda porque tambem enxergam que o,Bradesco,2,neutro
pode ter passado tanto paraa bradesco quanto para santander como voces podem ver na manchete ou,Bradesco,2,neutro
que eu quero fazer com bradesco e aproveitar um periodo ruim de diminuicao dos lucros e,Bradesco,2,negativo
otimo ne to comprando o bradesco abaixo do seu valor patrimonial e ai agora e sentar,Bradesco,2,neutro
comecarem a normalizar ponto do bradesco poder reverter suas provisoes para devedores duvidosos ne apresentar numeros,Bradesco,2,neutro
no seu resultado quanto a b3 e transmissao paulista transmissao paulista eu ja to com uma,B3,2,negativo
to com uma posicao relevante b3 eu quero mesmo que seja uma posicao que nao e,B3,2,neutro
parte tambem sendo acionista de b3 mantem as posicoes nao pretendo vender agora ate poderia vender,B3,2,positivo
sobre capital proprio vindo do bradesco entao foi um dos menores recebimentos do ano junto aqui,Bradesco,2,positivo
ne so esse pedacinho que bradesco paga mensalmente a proxima tela que eu vou abrir e,Bradesco,2,neutro
carteira entao ja comentei que bradesco e a maior posicao cerca de 20% da carteira ate,Bradesco,2,positivo
compraremos mais uma depois de bradesco a segunda ma posicao e transmissao paulista depois o banco,Bradesco,2,positivo
"14.2 e ai nos temos copasa com 11.89 b3 com 10.84 e sanepar com 10,25 e",Copasa,2,neutro
"nos temos copasa com 11.89 b3 com 10.84 e sanepar com 10,25 e e falando do",B3,2,neutro
"11.89 b3 com 10.84 e sanepar com 10,25 e e falando do setor de saneamento foi",Sanepar,2,neutro
que das tres maiores subidas sanepar e a primeira e e copasa e a segunda sendo,Sanepar,2,positivo
e a primeira e e copasa e a segunda sendo que ja tinha subido mais depois,Copasa,2,positivo
e com prejuizo nos temos b3 e transmissao paulista como ja foi comentado e para fechar,B3,2,neutro
automatica basta integrar com a b3 tambem serve para investimento exterior tambem serve para criptomoedas pra,B3,2,neutro
queremos um clima tropical subtropical equatorial bastante sol durante o ano um certo regime de chuvas,Equatorial,2,neutro
saneamento e o caso da b3 a nossa unica bolsa aqui bancos de um certo modo,B3,2,neutro
a primeira delas e que bradesco esta achando as suas proprias acoes muito baratas prova disso,Bradesco,3,neutro
toma conta do negocio do bradesco sendo que essa sabido falei disso em varios episodios que,Bradesco,3,neutro
disso em varios episodios que bradesco passou por um momento muito ruim ficando com mais mais,Bradesco,3,negativo
fim entao sera que o bradesco ele ta vendo isso e esta comprando nao so porque,Bradesco,3,neutro
de que ta caro e bradesco esta indiscutivelmente barato tanto que a maior posicao que eu,Bradesco,3,positivo
ja to bem posicionado em bradesco uma outra empresa que divulgou resultados tambem foi a copasa,Bradesco,3,positivo
divulgou resultados tambem foi a copasa estatal de minas gerais responsavel por abastecimento de agua e,Copasa,3,positivo
celulose 12 financeiro aqui ta b3 9.72 e apareceu um nao configurado que no caso e,B3,3,neutro
de precos bem tranquila e b3 que ta me dando um prejuizo puxando a rentabilidade da,B3,3,negativo
"baixo de 13,66 lembrando que b3 e de longe a posicao mais cara que eu tenho",B3,3,negativo
no lado positivo nos temos sanepar puxando para cima com 35% de rentabilidade fora dividendos depois,Sanepar,3,positivo
"dividendos depois clabin com 15 copasa com 11 banco abc com 10 bradesco subindo 4,44 maior",Copasa,3,neutro
"11 banco abc com 10 bradesco subindo 4,44 maior posicao da carteira e nos temos slc",Bradesco,3,neutro
de r$ 1952 pagos por bradesco que paga todo mes alguma coisinha de juro sobre capital,Bradesco,3,positivo
como e o caso de bradesco o itau tambem faz a mesma coisa para em alguns,Bradesco,3,neutro
de duas delas eng e semig e por que que eu vou colocar de uma vez,semig,3,positivo
como e o caso de b3 que tem grandes vantagens competitivas estar dentro de um setor,B3,3,neutro
eng privada vamos falar de semig estatal de minas gerais ela e uma das principais concessionarias,semig,3,neutro
outros estados o que coloca semig como um um player muito relevante na manutencao do sistema,semig,3,positivo
mas o principal ponto de semig na minha opiniao e que talvez nao sei isso vai,semig,3,neutro
que falar em privatizacao de semig sobretudo depois que o parana fez isso com copel deixou,semig,3,neutro
ordinaria que nos temos ordinaria semig 3 e a preferencial talvez algum de voces ate perguntem,semig,3,neutro
observar o tag along de semig 4 veja aqui que nao ha e se eu for,semig,3,neutro
observar o tag along da semig 3 veja aqui que ele e de 80% lembrando para,semig,3,neutro
fluxo de dinheiro estrangeiro na b3 entre os dias 1eo e 27 de novembro que e,B3,4,neutro
e semic a maior e bradesco e aqui no meio do caminho nos temos outros oito,Bradesco,4,neutro
oito papeis ess elc agricola sanepar b3 eng copasa a estatal de minas gerais que mexe,Sanepar,4,neutro
papeis ess elc agricola sanepar b3 eng copasa a estatal de minas gerais que mexe com,B3,4,neutro
elc agricola sanepar b3 eng copasa a estatal de minas gerais que mexe com distribuicao de,Copasa,4,neutro
nao sao bancos que seria b3 entao veja que meus 10 papeis estao distrib ios em,B3,4,neutro
pequenos e um prejuizo maior semig que caiu bastante no mes de novembro no final do,semig,4,negativo
estado de minas gerais passar semig nao so semig mas copasa tambem e mais uma empresa,semig,4,neutro
gerais passar semig nao so semig mas copasa tambem e mais uma empresa que nao e,semig,4,neutro
semig nao so semig mas copasa tambem e mais uma empresa que nao e listada codemig,Copasa,4,neutro
tivemos muitas novidades tanto que semig cou quase 20% recuperou uma pequena parte dessa queda mas,semig,4,neutro
pode ver o preco de semig andando de lado durante bastante tempo buscando uma definicao se,semig,4,neutro
espera que venha acontecer em petrobras principalmente com a aproximacao de uma eleicao ja que h,Petrobras,4,neutro
na mao entao ter uma semig na mao uma entre aspas mini eletrobras seria bem interessante,semig,4,neutro
"bem mais leves sao de b3 - 4,5 e nao que tenha acontecedo algo de especial",B3,4,neutro
acontecedo algo de especial com b3 simplesmente uma variacao normal de mercado e de slc agricola,B3,4,neutro
ponta cabe um destaque pra sanepar que e uma das menores posicoes da carteira se eu,Sanepar,4,neutro
ela fica atras apenas de semig que cai o 12% por isso se tornou a menor,semig,4,negativo
slc e depois nos temos sanepar foi uma das primeiras acoes que eu coloquei no viver,Sanepar,4,negativo
a maior posicao nos temos bradesco que esta com uma valorizacao ate interessante voltando aqui pra,Bradesco,4,positivo
como foi o caso de sanepar e de copasa que e a segunda maior subida apesar,Sanepar,4,positivo
caso de sanepar e de copasa que e a segunda maior subida apesar da noticia da,Copasa,4,neutro
noticia da federalizacao tambem envolver copasa so que copasa so tem acoes ordinarias entao se realmente,Copasa,4,neutro
tambem envolver copasa so que copasa so tem acoes ordinarias entao se realmente fosse rolar uma,Copasa,4,neutro
minas gerais pro acionista de copasa que e um acionista ordinario aquilo aconteceria nos mesmos termos,Copasa,4,neutro
copaz e de 100% pra semig a acao preferencial nao tem tegal por isso ela caiu,semig,4,negativo
caiu tanto a acao ordinaria semig 3 tem mas e de 80% entao ela caiu mas,semig,4,negativo
juros sobre capital proprio de bradesco um belo pagamento de copasa e tambem um pagamento de,Bradesco,4,neutro
bradesco um belo pagamento de copasa e tambem um pagamento de clabin e olhando o desempenho,Copasa,4,neutro
apesar da forte queda de semig a carteira continua rendendo muito bem no ano sendo que,semig,4,negativo
no ano sendo que em semig eu dei um baita de um azar foi praticamente comprar,semig,4,negativo
acabou que essa queda de semig limitou um pouco a nossa alta mas acredito que no,semig,4,negativo
dao menos exposicao eu compraria sanepar 11 slc agricola e cmig 4 mas esse criterio de,Sanepar,4,neutro
indicadores eu passei por todas bradesco abc b3 sanepar copasa semig transmissao paulista eng clabin e,Bradesco,4,neutro
passei por todas bradesco abc b3 sanepar copasa semig transmissao paulista eng clabin e slc vejao,B3,4,neutro
por todas bradesco abc b3 sanepar copasa semig transmissao paulista eng clabin e slc vejao inclusive,Sanepar,4,neutro
todas bradesco abc b3 sanepar copasa semig transmissao paulista eng clabin e slc vejao inclusive que,Copasa,4,neutro
bradesco abc b3 sanepar copasa semig transmissao paulista eng clabin e slc vejao inclusive que eu,semig,4,neutro
como e o caso de bradesco banco abc so que para esse video para definir o,Bradesco,4,neutro
oito nomes aqui nao coloquei bradesco e banco abc por dois motivos o primeiro deles e,Bradesco,4,neutro
a qu mais estou exposto bradesco ja e maior posicao quando soma com abc torna o,Bradesco,4,neutro
sao rentaveis eu espero que bradesco seja mais rentavel nos proximos trimestres eu tirei elas da,Bradesco,4,positivo
de fato foi veja que semig ficou com uma classificacao no final que somou quatro porque,semig,4,neutro
maior hoik da lista e sanepar que somou tambem uma classificacao oito porque ta muito barata,Sanepar,4,positivo
ja vou realizar uma porte semig que foi a primeira do ranking que e do setor,semig,4,positivo
tres nomes entao vou comprar semig 4 slc e sanepar o que coincidentemente acabou batendo com,semig,4,positivo
comprar semig 4 slc e sanepar o que coincidentemente acabou batendo com os tres nomes aos,Sanepar,4,positivo
mas tem o risco da semig ser federalizada sim de fato ha esse risco mas perceba,semig,4,neutro
posicao em r$ 2000 em semig significa percentualmente comparando com a minha carteira a agora sem,semig,4,positivo
"exposicao em 3,4 por em semig na minha carteira atualmente se eu for considerar a carteira",semig,4,neutro
se eu achasse realmente que semig ja havia perdido o fundamento eu nao so nao estaria,semig,4,neutro
como estaria ate vendendo o semig mas isso nao aconteceu pelo menos nao ainda pode ser,semig,4,neutro
corretora rico aberto ja tenho sanepar e semig aqui pra gente poder observar a variacao de,Sanepar,4,neutro
aberto ja tenho sanepar e semig aqui pra gente poder observar a variacao de precos ambas,semig,4,neutro
baixo vou comprar primeiro o sanepar mais ou menos 20.000 entao vou comprar cerca de 800,Sanepar,4,positivo
"cerca de 800 acoes de sanepar vou dar ordem 26,47 vaiou ficar como primeiro da lista",Sanepar,4,positivo
ela ta aberta proxima compra semig 4 vou comprar r00 acoes chega muito proximo do valor,semig,4,positivo
bilhoes deais que entraram na b3 fruto de investimento estrangeiro o que representa quase metade daquilo,B3,5,neutro
pegando aqui a maior posicao bradesco que e praticamente quase o dobro vamos colocar assim da,Bradesco,5,positivo
da menor posicao que e b3 aqui na parte intermediaria transmissao paulista banco abc sanepar semig,B3,5,neutro
intermediaria transmissao paulista banco abc sanepar semig slc agricola copasa clabin e aqui a eng se,Sanepar,5,neutro
transmissao paulista banco abc sanepar semig slc agricola copasa clabin e aqui a eng se a,semig,5,neutro
abc sanepar semig slc agricola copasa clabin e aqui a eng se a gente separa por,Copasa,5,neutro
slc agricola e -5% em semig lembrando que semig teve todo aquele rolo de uma possivel,semig,5,neutro
-5% em semig lembrando que semig teve todo aquele rolo de uma possivel federalizacao ou seja,semig,5,neutro
o governo de minas passando semig pra mao do governo federal se isso vai acontecer ou,semig,5,neutro
com destaque aqui para saneamento sanepar subindo 47% copasa subindo 30 e bancos com banco abc,Sanepar,5,positivo
para saneamento sanepar subindo 47% copasa subindo 30 e bancos com banco abc subindo 39 e,Copasa,5,positivo
"abc subindo 39 e o bradesco subindo 22,57 foram as quatro maiores subidas sem contar dividendos",Bradesco,5,positivo
um nome negativo nesse mes b3 caindo 1% e semig e slc praticamente inverteram sua posicao,B3,5,negativo
mes b3 caindo 1% e semig e slc praticamente inverteram sua posicao semig recuperou bastante do,semig,5,positivo
slc praticamente inverteram sua posicao semig recuperou bastante do que tinha perdido e slc caiu bastante,semig,5,neutro
eu dou um destaque pra copasa 49% dos dividendos vieram dessa empresa que foi uma das,Copasa,5,positivo
dividendo assim por exemplo uma b3 se eu desco aqui veja que eu ja tenho o,B3,5,neutro
sobre capital proprio que o bradesco vai pagando ao longo dos meses um dezembro que deve,Bradesco,5,positivo
na carteira que e a b3 ne e por que que eu vou fazer esse aporte,B3,5,neutro
"a menor delas e a b3 7,61 da carteira a maior posicao bradesco como eu disse",B3,5,neutro
da carteira a maior posicao bradesco como eu disse e quase que o dobro de b3,Bradesco,5,positivo
quase que o dobro de b3 alem disso como eu ja mostrei na tela de rentabilidade,B3,5,neutro
nos temos tres atualmente slc semig que eu ja comprei no ultimo video da serie viver,semig,5,positivo
de acoes e a propria b3 que eu comprei la atras e nao fiz novos aportes,B3,5,neutro
gente nao pode falar que b3 e uma empresa barata negociando a quase 19 vezes seus,B3,5,positivo
em si barata so que b3 tem um grande crescimento de lucros tem um crescimento tambem,B3,5,positivo
dois ultimos anos em que b3 continuou crescendo seus resultados um periodo muito desafiador pro investidor,B3,5,positivo
acontecer isso e bom para b3 aumenta os lucros de b3 se o lucro aumenta e,B3,5,positivo
b3 aumenta os lucros de b3 se o lucro aumenta e o preco nao esse indicador,B3,5,positivo
um dispositivo legal que blinda b3 de mais competicao que pode chegar entao por isso talvez,B3,5,positivo
o que eu gosto de b3 de verdade e a vantagem que ela tem na aquisicao,B3,5,positivo
mas eu virei cliente da b3 com 18 anos e sou cliente ate hoje com 35,B3,5,positivo
frente de modo que a b3 ela gastou apenas uma unica vez para me adquirir como,B3,5,positivo
foi da corretora e a b3 ela acabou sendo beneficiada por isso ah mas eu vou,B3,5,positivo
taxa de 0.2 vai para b3 vou investir em fundo imobiliario b3 acoes b3 fundo de,B3,5,positivo
vou investir em fundo imobiliario b3 acoes b3 fundo de infra b3 nao vou comprar nada,B3,5,positivo
em fundo imobiliario b3 acoes b3 fundo de infra b3 nao vou comprar nada via bolsa,B3,5,positivo
acoes b3 fundo de infra b3 nao vou comprar nada via bolsa nao vou comprar no,B3,5,neutro
mas o dinheiro vai pra b3 financiamento de veiculo passa por la tambem entao tudo acaba,B3,5,neutro
ralo financeiro que e a b3 com custo de marketing baixo porque se voce pensa qual,B3,5,neutro
dele provavelmente muito dinheiro a b3 consegue fazer isso de graca porque todo video que eu,B3,5,positivo
pelo assunto acaba ajudando a b3 eu nao recebo r 1 real da b3 por isso,B3,5,neutro
